doing|do
outfoxing|outfox
outgrowing|outgrow
outlasting|outlast
outlawing|outlaw
outlining|outline
outliving|outlive
outmanoeuvring|outmanoeuvre
outnumbering|outnumber
outplaying|outplay
outraging|outrage
outranking|outrank
outriding|outride
outrunning|outrun
outshining|outshine
outsmarting|outsmart
outstaying|outstay
outvoting|outvote
outweighing|outweigh
outwitting|outwit
overawing|overawe
overbearing|overbear
overburdening|overburden
overcooking|overcook
overcoming|overcome
overcrowding|overcrowd
overdoing|overdo
overemphasizing|overemphasize
overestimating|overestimate
overexerting|overexert
overexposing|overexpose
overhauling|overhaul
overhearing|overhear
overleaping|overleap
overloading|overload
overlooking|overlook
overpaying|overpay
overplaying|overplay
overpowering|overpower
overpraising|overpraise
overprinting|overprint
overrating|overrate
overriding|override
overruling|overrule
overrunning|overrun
overseeing|oversee
overshadowing|overshadow
overshooting|overshoot
oversimplifying|oversimplify
overstating|overstate
overstaying|overstay
overstepping|overstep
overstocking|overstock
overstraining|overstrain
overtaking|overtake
overtaxing|overtax
overvaluing|overvalue
overwhelming|overwhelm
owning|own
oxygenating|oxygenate
pacifying|pacify
packaging|package
padding|pad
padlocking|padlock
paging|page
paining|pain
pampering|pamper
papering|paper
parallelling|parallel
paralysing|paralyse
paralyzing|paralyze
paraphrasing|paraphrase
parching|parch
pardoning|pardon
paring|pare
parodying|parody
paroling|parole
parrying|parry
parsing|parse
partitioning|partition
partnering|partner
pasteurizing|paste
pasting|pasteurize
patting|pat
patenting|patent
patrolling|patrol
patronizing|patronize
patterning|pattern
pauperizing|pauperize
pawing|paw
pawning|pawn
pegging|peg
pelting|pelt
penalizing|penalize
pencilling|pencil
peppering|pepper
perfecting|perfect
perforating|perforate
perfuming|perfume
perfusing|perfuse
perjuring|perjure
perming|perm
permeating|permeate
permuting|permute
perpetrating|perpetrate
perpetuating|perpetuate
perplexing|perplex
persecuting|persecute
personalizing|personalize
personifying|personify
perturbing|perturb
perusing|peruse
pervading|pervade
perverting|pervert
pestering|pester
petting|pet
photocopying|photocopy
photographing|photograph
photosensitizing|photosensitize
photostatting|photostat
phrasing|phrase
pickling|pickle
picturing|picture
piercing|pierce
pigeonholing|pigeonhole
pilfering|pilfer
piloting|pilot
pinching|pinch
pinpointing|pinpoint
piping|pip
pipping|pipe
piquing|pique
pirating|pirate
pitting|pit
pitchforking|pitchfork
pitying|pity
placating|placate
placing|place
plagiarizing|plagiarize
plaguing|plague
planting|plant
plastering|plaster
pleasing|please
plying|ply
plumbing|plumb
pocketing|pocket
poisoning|poison
polarizing|polarize
policing|police
polishing|polish
politicizing|politicize
pollinating|pollinate
polluting|pollute
pondering|ponder
pooh-poohing|pooh-pooh
pooling|pool
popularizing|popularize
populating|populate
porting|port
portending|portend
positioning|position
possessing|possess
posting|post
postdating|postdate
postmarking|postmark
postponing|postpone
powdering|powder
praising|praise
pre-empting|pre-empt
prearranging|prearrange
preceding|precede
precipitating|precipitate
precluding|preclude
preconceiving|preconceive
predestining|predestine
predetermining|predetermine
predicating|predicate
predisposing|predispose
preempting|preempt
preening|preen
prefabricating|prefabricate
prefacing|preface
prefiguring|prefigure
preheating|preheat
prejudging|prejudge
prejudicing|prejudice
premeditating|premeditate
premising|premise
preoccupying|preoccupy
preordaining|preordain
prepaying|prepay
prerecording|prerecord
presaging|presage
prescribing|prescribe
presenting|present
preserving|preserve
presorting|presort
pressurizing|pressurize
prettifying|prettify
preventing|prevent
pricing|price
priding|pride
priming|prime
printing|print
privileging|privilege
prizing|prize
probing|probe
processing|process
procuring|procure
prodding|prod
producing|produce
proffering|proffer
profiling|profile
prognosticating|prognosticate
prohibiting|prohibit
projecting|project
prolonging|prolong
promoting|promote
promulgating|promulgate
pronouncing|pronounce
proofing|proof
propelling|propel
proportioning|proportion
propositioning|proposition
propounding|propound
proscribing|proscribe
prosecuting|prosecute
prostituting|prostitute
prostrating|prostrate
protecting|protect
pruning|prune
psychoanalysing|psychoanalyse
psychoanalyzing|psychoanalyze
publicizing|publicize
publishing|publish
pulverizing|pulverize
pummelling|pummel
punctuating|punctuate
punishing|punish
purchasing|purchase
purifying|purify
purloining|purloin
pursing|purse
pursuing|pursue
purveying|purvey
quaffing|quaff
qualifying|qualify
quantifying|quantify
quarantining|quarantine
quartering|quarter
quashing|quash
quelling|quell
quenching|quench
querying|query
questioning|question
quick-freezing|quick-freeze
quilting|quilt
quoting|quote
raffling|raffle
raiding|raid
railroading|railroad
ramming|ram
ramping|ramp
ransacking|ransack
ransoming|ransom
raping|rape
ratifying|ratify
rationing|ration
rationalizing|rationalize
ravaging|ravage
ravishing|ravish
razing|raze
re-addressing|re-address
re-educating|re-educate
re-establishing|re-establish
readmitting|readmit
reaping|reap
rearranging|rearrange
reassessing|reassess
reauthorizing|reauthorize
rebuffing|rebuff
rebuking|rebuke
rebutting|rebut
recapturing|recapture
recasting|recast
recessing|recess
reciting|recite
reclaiming|reclaim
recommitting|recommit
recompensing|recompense
reconciling|reconcile
reconditioning|recondition
reconsecrating|reconsecrate
reconsidering|reconsider
reconstructing|reconstruct
reconvicting|reconvict
recouping|recoup
recreating|recreate
rectifying|rectify
recycling|recycle
redecorating|redecorate
redeeming|redeem
redefining|redefine
redeploying|redeploy
redesigning|redesign
redeveloping|redevelop
rediscovering|rediscover
redistributing|redistribute
redoing|redo
redressing|redress
reducing|reduce
reduplicating|reduplicate
reestablishing|reestablish
refashioning|refashion
refilling|refill
refinancing|refinance
refining|refine
reformulating|reformulate
refracting|refract
refreshing|refresh
refrigerating|refrigerate
refunding|refund
refurbishing|refurbish
refurnishing|refurnish
refuting|refute
regaining|regain
regaling|regale
regimenting|regiment
regularizing|regularize
regulating|regulate
regurgitating|regurgitate
rehabilitating|rehabilitate
rehashing|rehash
rehousing|rehouse
reimbursing|reimburse
reinforcing|reinforce
reinstating|reinstate
reinsuring|reinsure
reintegrating|reintegrate
reinterpreting|reinterpret
reinventing|reinvent
reissuing|reissue
rejecting|reject
rejoining|rejoin
rejuvenating|rejuvenate
relaying|relay
releasing|release
relegating|relegate
relieving|relieve
relinquishing|relinquish
relishing|relish
relisting|relist
reliving|relive
remanding|remand
remedying|remedy
remilitarizing|remilitarize
remodelling|remodel
remoulding|remould
removing|remove
remunerating|remunerate
rending|rend
renewing|renew
renouncing|renounce
renovating|renovate
reorienting|reorient
reorientating|reorientate
repackaging|repackage
repainting|repaint
repatriating|repatriate
repealing|repeal
repelling|repel
replacing|replace
replanting|replant
replaying|replay
replenishing|replenish
replicating|replicate
reprehending|reprehend
representing|represent
repressing|repress
reprieving|reprieve
reprimanding|reprimand
reprinting|reprint
reproaching|reproach
reproofing|reproof
reproving|reprove
repudiating|repudiate
repulsing|repulse
repurchasing|repurchase
reputing|repute
requisitioning|requisition
rereading|reread
rerouting|reroute
rescheduling|reschedule
rescinding|rescind
rescuing|rescue
researching|research
reseating|reseat
reselling|resell
resembling|resemble
resenting|resent
reserving|reserve
resetting|reset
reshaping|reshape
reshuffling|reshuffle
resoling|resole
respecting|respect
restating|restate
restocking|restock
restoring|restore
restraining|restrain
restricting|restrict
restructuring|restructure
resuming|resume
resurrecting|resurrect
retaining|retain
retaking|retake
retarding|retard
retelling|retell
rethinking|rethink
retouching|retouch
retracing|retrace
retracting|retract
retransmitting|retransmit
retrieving|retrieve
revaluing|revalue
revamping|revamp
revering|revere
reviewing|review
reviling|revile
revising|revise
revisiting|revisit
revitalizing|revitalize
revoking|revoke
revolutionizing|revolutionize
rewarding|reward
rewiring|rewire
rewording|reword
rewriting|rewrite
ribbing|rib
riddling|riddle
ridiculing|ridicule
rifling|rifle
righting|right
rimming|rim
rivaling|rival
rivalling|rival
riveting|rivet
romanticizing|romanticize
roping|rope
routing|rout
routing|route
rubber-stamping|rubber-stamp
rubberizing|rubberize
ruing|rue
ruining|ruin
rumpling|rumple
rusticating|rusticate
sabotaging|sabotage
sacking|sack
saddening|sadden
saddling|saddle
safeguarding|safeguard
salting|salt
salvaging|salvage
sampling|sample
sanctifying|sanctify
sanctioning|sanction
sanding|sand
sandblasting|sandblast
sandpapering|sandpaper
sandwiching|sandwich
sapping|sap
satiating|satiate
satirizing|satirize
satisfying|satisfy
saturating|saturate
sauteing|saute
savaging|savage
savouring|savour
scalding|scald
scalping|scalp
scandalizing|scandalize
scanting|scant
scarring|scar
scenting|scent
scheduling|schedule
schooling|school
scooping|scoop
scorching|scorch
scorning|scorn
scotching|scotch
scouring|scour
scrapping|scrap
screening|screen
scrunching|scrunch
scrutinizing|scrutinize
sculpting|sculpt
scuttling|scuttle
searing|sear
seasoning|season
seating|seat
seconding|second
secreting|secrete
secularizing|secularize
securing|secure
sedating|sedate
seducing|seduce
seeding|seed
segregating|segregate
selecting|select
sensitizing|sensitize
sentimentalizing|sentimentalize
sequestering|sequester
serenading|serenade
serializing|serialize
servicing|service
shackling|shackle
shadowing|shadow
shaming|shame
shampooing|shampoo
sharing|share
sharpening|sharpen
shearing|shear
sheathing|sheathe
sheltering|shelter
shedding|shed
shelving|shelve
shepherding|shepherd
shielding|shield
shingling|shingle
shirking|shirk
shocking|shock
shooing|shoo
short-changing|short-change
shortlisting|shortlist
shouldering|shoulder
shovelling|shovel
shredding|shred
shrouding|shroud
shucking|shuck
shunning|shun
shunting|shunt
shuttering|shutter
sicking|sick
sickening|sicken
sidelining|sideline
sidestepping|sidestep
sidetracking|sidetrack
sieving|sieve
sighting|sight
signposting|signpost
silencing|silence
silhouetting|silhouette
simplifying|simplify
simulating|simulate
siphoning|siphon
siring|sire
skewering|skewer
skinning|skin
skippering|skipper
skirting|skirt
slaking|slake
slandering|slander
slapping|slap
slashing|slash
slating|slate
slaughtering|slaughter
slaying|slay
slicing|slice
slighting|slight
slinging|sling
slotting|slot
slugging|slug
slurring|slur
smelting|smelt
smiting|smite
smothering|smother
snagging|snag
snaring|snare
snubbing|snub
socking|sock
soft-pedalling|soft-pedal
soiling|soil
soldering|solder
soliciting|solicit
solving|solve
soothing|soothe
soundproofing|soundproof
souping|soup
sousing|souse
spading|spade
spanning|span
spanking|spank
sparing|spare
spaying|spay
spearing|spear
spearheading|spearhead
specifying|specify
spewing|spew
spiking|spike
spin-drying|spin-dry
spiriting|spirit
spiting|spite
splicing|splice
sponsoring|sponsor
spoonfeeding|spoonfeed
spotting|spot
spotlighting|spotlight
spraining|sprain
spraying|spray
sprinkling|sprinkle
spurning|spurn
squandering|squander
squelching|squelch
squiring|squire
stabbing|stab
staffing|staff
staging|stage
stalemating|stalemate
standardizing|standardize
stapling|staple
starching|starch
startling|startle
stashing|stash
stationing|station
staunching|staunch
stealing|steal
steamrollering|steamroller
steeling|steel
stereotyping|stereotype
sterilizing|sterilize
stiffing|stiff
stigmatizing|stigmatize
stilling|still
stimulating|stimulate
stitching|stitch
stockading|stockade
stoking|stoke
stomaching|stomach
stoning|stone
storing|store
stowing|stow
straddling|straddle
strafing|strafe
straitening|straiten
strangling|strangle
strapping|strap
streamlining|streamline
strewing|strew
stroking|stroke
structuring|structure
stubbing|stub
stuccoing|stucco
studding|stud
stunning|stun
stunting|stunt
styling|style
stylizing|stylize
stymieing|stymie
subduing|subdue
subediting|subedit
subjecting|subject
subjugating|subjugate
sublimating|sublimate
subordinating|subordinate
subpoenaing|subpoena
subserving|subserve
subsidizing|subsidize
substantiating|substantiate
subsuming|subsume
subtending|subtend
subtracting|subtract
subverting|subvert
succouring|succour
suckling|suckle
suffusing|suffuse
suiting|suit
sullying|sully
summarizing|summarize
summoning|summon
sunning|sun
sundering|sunder
superimposing|superimpose
superseding|supersede
supplanting|supplant
supplementing|supplement
supplying|supply
supporting|support
suppressing|suppress
surmounting|surmount
surpassing|surpass
surrounding|surround
surveying|survey
suspending|suspend
sustaining|sustain
swamping|swamp
swathing|swat
swatting|swathe
sweetening|sweeten
swigging|swig
swindling|swindle
swiping|swipe
symbolizing|symbolize
syncopating|syncopate
syndicating|syndicate
synthesizing|synthesize
syphoning|syphon
systematizing|systematize
tabling|table
tabulating|tabulate
tailing|tail
tailoring|tailor
tainting|taint
taming|tame
tamping|tamp
tantalizing|tantalize
tarring|tar
targeting|target
tattooing|tattoo
taunting|taunt
taxing|tax
teasing|tease
telecasting|telecast
telescoping|telescope
televising|televise
tendering|tender
terracing|terrace
terrifying|terrify
terrorizing|terrorize
testing|test
test-driving|test-drive
tethering|tether
thanking|thank
thatching|thatch
thirsting|thirst
threading|thread
thumbing|thumb
thwarting|thwart
ticketing|ticket
tiling|tile
tilling|till
timing|time
tinting|tint
titillating|titillate
toeing|toe
tolerating|tolerate
tormenting|torment
torpedoing|torpedo
torturing|torture
toting|tote
touring|tour
tousling|tousle
touting|tout
towing|tow
towelling|towel
trampling|trample
tranquilizing|tranquilize
tranquillizing|tranquillize
transacting|transact
transcending|transcend
transcribing|transcribe
transfixing|transfix
transforming|transform
transfusing|transfuse
transmitting|transmit
transmuting|transmute
transporting|transport
transposing|transpose
transshipping|transship
trapping|trap
traversing|traverse
treasuring|treasure
tricking|trick
triggering|trigger
trivializing|trivialize
troubling|trouble
trouncing|trounce
truncating|truncate
tutoring|tutor
tweaking|tweak
twiddling|twiddle
typecasting|typecast
typifying|typify
tyrannizing|tyrannize
unbalancing|unbalance
unbanning|unban
unblocking|unblock
unbolting|unbolt
unbuckling|unbuckle
unburdening|unburden
unbuttoning|unbutton
uncorking|uncork
uncoupling|uncouple
uncovering|uncover
uncrossing|uncross
undercharging|undercharge
undercutting|undercut
underestimating|underestimate
underexposing|underexpose
undergoing|undergo
underlining|underlie
underlying|underline
undermining|undermine
underpaying|underpay
underpinning|underpin
underquoting|underquote
underrating|underrate
underscoring|underscore
underselling|undersell
undershooting|undershoot
undersigning|undersign
understating|understate
understocking|understock
understudying|understudy
undervaluing|undervalue
underwriteing|underwrite
undoing|undo
unearthing|unearth
unfettering|unfetter
unfrocking|unfrock
unfurling|unfurl
unhanding|unhand
unhinging|unhinge
unhooking|unhook
unlearning|unlearn
unleashing|unleash
unloosing|unloose
unmasking|unmask
unnerving|unnerve
unplugging|unplug
unsaddling|unsaddle
unscrambling|unscramble
unsettling|unsettle
unsheathing|unsheathe
unveiling|unveil
unzipping|unzip
upbraiding|upbraid
updating|update
upgrading|upgrade
upholding|uphold
upholstering|upholster
uplifting|uplift
uprooting|uproot
upsetting|upset
upstaging|upstage
ushering|usher
usurping|usurp
utilizing|utilize
uttering|utter
vacating|vacate
vaccinating|vaccinate
valeting|valet
validating|validate
valuing|value
vanquishing|vanquish
varnishing|varnish
veiling|veil
vending|vend
venerating|venerate
venting|vent
ventilating|ventilate
verbalizing|verbalize
vetoing|vet
vetting|veto
vexing|vex
victimizing|victimize
videotaping|videotape
vilifying|vilify
vindicating|vindicate
violating|violate
visaing|visa
visualizing|visualize
vitiating|vitiate
vivisecting|vivisect
vocalizing|vocalize
voicing|voice
voiding|void
vouchsafing|vouchsafe
vulgarizing|vulgarize
waging|wage
waiving|waive
walling|wall
walloping|wallop
wangling|wangle
warding|ward
warranting|warrant
wasting|waste
waterproofing|waterproof
waylaying|waylay
weaning|wean
weathering|weather
wedging|wedge
weighting|weight
welcoming|welcome
wending|wend
westernizing|westernize
wetting|wet
whacking|whack
wheedling|wheedle
whetting|whet
whiling|while
whitewashing|whitewash
wielding|wield
winging|wing
winnowing|winnow
withholding|withhold
withstanding|withstand
witnessing|witness
wolfing|wolf
wooing|woo
wording|word
worming|worm
wounding|wound
wreaking|wreak
wrecking|wreck
wrenching|wrench
wresting|wrest
wronging|wrong
zapping|zap
zoning|zone
barging|barge
boozing|booze
bottoming|bottom
bowing|bow
branching|branch
breezing|breeze
brimming|brim
bulging|bulge
caving|cave
clamming|clam
clicking|click
clowning|clown
coming|come
crapping|crap
crawling|crawl
creeping|creep
cropping|crop
crouching|crouch
cruising|cruise
crying|cry
dancing|dance
darting|dart
diving|dive
dozing|doze
drifting|drift
droning|drone
fading|fade
fizzling|fizzle
flocking|flock
flowing|flow
foaming|foam
forking|fork
ganging|gang
gearing|gear
goofing|goof
gushing|gush
hurrying|hurry
jogging|jog
jutting|jut
keeling|keel
kneeling|kneel
kneeling|kneel
knuckling|knuckle
lying|lie
limping|limp
lingering|linger
listening|listen
looming|loom
lunging|lunge
lurching|lurch
marching|march
mellowing|mellow
nestling|nestle
opting|opt
peeking|peek
peering|peer
perking|perk
petering|peter
pigging|pig
pining|pine
plonking|plonk
plopping|plop
puffing|puff
rotting|rot
sailing|sail
sallying|sally
sitting|sit
screaming|scream
scurrying|scurry
seeping|seep
shacking|shack
shining|shine
shining|shine
shopping|shop
shriveling|shrivel
shying|shy
slacking|slack
slaving|slave
sliding|slide
slimming|slim
slinking|slink
sloping|slope
slumping|slump
soaring|soar
soldiering|soldier
spurting|spurt
squatting|squat
standing|stand
stepping|step
stooping|stoop
streaming|stream
strolling|stroll
strutting|strut
stumbling|stumble
swimming|swim
swooping|swoop
teaming|team
tensing|tense
toddling|toddle
tramping|tramp
trickling|trickle
trudging|trudge
tumbling|tumble
veering|veer
wafting|waft
walking|walk
zeroing|zero
zooming|zoom
skidding|skid
averaging|average
backing|back
bailing|bail
banging|bang
beaming|beam
beating|beat
beefing|beef
bellowing|bellow
bending|bend
binding|bind
blaring|blare
bobbing|bob
bogging|bog
boiling|boil
bolting|bolt
boring|bore
bouncing|bounce
bounding|bound
bowling|bowl
boxing|box
breaking|break
breathing|breathe
brightening|brighten
bruising|bruise
brushing|brush
bucking|buck
buckling|buckle
building|build
bumming|bum
bumping|bump
bunching|bunch
burning|burn
busting|bust
butting|butt
buttoning|button
buzzing|buzz
calming|calm
camping|camp
canceling|cancel
carving|carve
cashing|cash
casting|cast
catching|catch
changing|change
chatting|chat
cheating|cheat
checking|check
cheering|cheer
chewing|chew
chilling|chill
chipping|chip
choking|choke
chopping|chop
churning|churn
climbing|climb
clogging|clog
closing|close
clouding|cloud
clumping|clump
coiling|coil
combing|comb
connecting|connect
contracting|contract
cooking|cook
cooling|cool
copping|cop
coughing|cough
counting|count
cracking|crack
cramming|cram
crossing|cross
crowding|crowd
crumbling|crumble
crumpling|crumple
crunching|crunch
curling|curl
dashing|dash
deal|dealing
dialing|dial
digging|dig
dining|dine
dragging|drag
draining|drain
drawing|draw
dressing|dress
driving|drive
dropping|drop
drowning|drown
drumming|drum
drying|dry
ducking|duck
easing|ease
eating|eat
edging|edge
emptying|empty
evening|even
facing|face
fanning|fan
farming|farm
fattening|fatten
fending|fend
fetching|fetch
filing|file
filling|fill
filtering|filter
firing|fire
firming|firm
fishing|fish
flaring|flare
flattening|flatten
flipping|flip
floating|float
flooding|flood
flunking|flunk
flushing|flush
flying|fly
folding|fold
following|follow
fouling|foul
freaking|freak
freezing|freeze
freshening|freshen
fucking|fuck
fueling|fuel
galloping|gallop
gathering|gather
glazing|glaze
gobbling|gobble
grinding|grind
gulping|gulp
hacking|hack
hammering|hammer
hanging|hang
hanging|hang
hauling|haul
heading|head
healing|heal
heating|heat
herding|herd
hiding|hide
hiking|hike
hitching|hitch
hooking|hook
hopping|hop
hunting|hunt
ironing|iron
jamming|jam
jerking|jerk
joining|join
jumbling|jumble
jumping|jump
knocking|knock
knotting|knot
lapping|lap
lashing|lash
leading|lead
leaking|leak
leaning|lean
leaping|leap
leaping|leap
leveling|level
licking|lick
lighting|light
lightening|lighten
limbering|limber
lining|line
livening|liven
logging|log
loosening|loosen
losing|lose
marrying|marry
matching|match
melting|melt
messing|mess
missing|miss
mopping|mop
mouthing|mouth
moving|move
mucking|muck
nodding|nod
oozing|ooze
opening|open
packing|pack
pairing|pair
panning|pan
peeling|peel
piling|pile
pissing|piss
playing|play
ploughing|plough
plowing|plow
plucking|pluck
plunging|plunge
pointing|point
poking|poke
popping|pop
pounding|pound
pouring|pour
prying|pry
puckering|pucker
pulling|pull
pumping|pump
quieting|quiet
raking|rake
reaching|reach
reeling|reel
renting|rent
reving|rev
riding|ride
ringing|ring
ringing|ring
ripping|rip
rocking|rock
rolling|roll
rooting|root
rounding|round
rubbing|rub
running|run
rushing|rush
scouting|scout
scraping|scrape
scratching|scratch
screwing|screw
sealing|seal
serving|serve
settling|settle
sewing|sew
shaping|shape
shaving|shave
shifting|shift
shipping|ship
shooting|shoot
shorting|short
shrugging|shrug
shushing|shush
signing|sign
shutting|shut
sketching|sketch
skipping|skip
slipping|slip
slowing|slow
smartening|smarten
smashing|smash
smoothing|smooth
snapping|snap
snatching|snatch
sneaking|sneak
sniffing|sniff
snuffing|snuff
soaking|soak
sobering|sober
softening|soften
spacing|space
sparking|spark
speeding|speed
speeding|speed
spelling|spell
spelling|spell
spilling|spill
spinning|spin
spitting|spit
splitting|split
spreading|spread
springing|spring
sprouting|sprout
sprucing|spruce
squaring|square
squeezing|squeeze
squirting|squirt
staggering|stagger
stamping|stamp
starring|star
starving|starve
steaming|steam
sticking|stick
stiffening|stiffen
stirring|stir
stocking|stock
storming|storm
straightening|straighten
stretching|stretch
striking|strike
stripping|strip
sucking|suck
summing|sum
swelling|swell
swinging|swing
switching|switch
tallying|tally
tangling|tangle
tapering|taper
thickening|thicken
thinning|thin
ticking|tick
tidying|tidy
tightening|tighten
tipping|tip
tiring|tire
toning|tone
toppling|topple
tossing|toss
trailing|trail
treading|tread
trimming|trim
tripping|trip
tucking|tuck
tuning|tune
twisting|twist
typing|type
waking|wake
warming|warm
weaving|weave
weeding|weed
weighing|weigh
whipping|whip
whooping|whoop
winning|win
winding|wind
wiping|wipe
working|work
wrapping|wrap
auctioning|auction
bandying|bandy
barring|bar
battening|batten
biting|bite
blocking|block
blotting|blot
blowing|blow
blurting|blurt
boarding|board
booking|book
booting|boot
bottling|bottle
bundling|bundle
buttering|butter
caging|cage
carrying|carry
carting|cart
chalking|chalk
chasing|chase
chucking|chuck
cleaning|clean
cluttering|clutter
covering|cover
cranking|crank
cutting|cut
damming|dam
dishing|dish
dividing|divide
doling|dole
dredging|dredge
drinking|drink
dumping|dump
egging|egg
eking|eke
factoring|factor
faxing|fax
flinging|fling
flinging|fling
fixing|fix
fobbing|fob
gouging|gouge
hamming|ham
hashing|hash
hoisting|hoist
jacking|jack
jazzing|jazz
jotting|jot
kicking|kick
killing|kill
laying|lay
lifting|lift
linking|link
loading|load
locking|lock
lopping|lop
mailing|mail
mapping|map
marking|mark
meting|mete
mixing|mix
mulling|mull
mussing|muss
nailing|nail
palming|palm
patching|patch
paving|pave
penning|pen
phasing|phase
phoning|phone
picking|pick
piecing|piece
pinning|pin
plugging|plug
pricking|prick
propping|prop
punching|punch
pushing|push
racking|rack
reining|rein
rigging|rig
riling|rile
rinsing|rinse
roughing|rough
roughening|roughen
saving|save
scaling|scale
scaring|scare
shaking|shake
shoring|shore
singling|single
sizing|size
skimming|skim
smuggling|smuggle
sopping|sop
sorting|sort
spicing|spice
stacking|stack
staking|stake
staving|stave
stringing|string
stringing|string
stuffing|stuff
sussing|suss
sweeping|sweep
tacking|tack
taping|tape
tearing|tear
throwing|throw
tiding|tide
tying|tie
topping|top
totaling|total
touching|touch
toughening|toughen
tracking|track
wadding|wad
washing|wash
wearing|wear
wringing|wring
yanking|yank
zipping|zip
acknowledging|acknowledge
adding|add
admitting|admit
affirming|affirm
agreeing|agree
announcing|announce
arguing|argue
ascertaining|ascertain
asserting|assert
assuming|assume
believing|believe
bragging|brag
calculating|calculate
charging|charge
claiming|claim
commanding|command
commenting|comment
complaining|complain
conceding|concede
concluding|conclude
confessing|confess
confirming|confirm
contending|contend
deciding|decide
declaring|declare
deducing|deduce
determining|determine
discerning|discern
disclosing|disclose
discovering|discover
emphasizing|emphasize
envisioning|envision
exclaiming|exclaim
explaining|explain
figuring|figure
guessing|guess
hinting|hint
hoping|hope
implying|imply
inquiring|inquire
insisting|insist
intimating|intimate
learning|learn
maintaining|maintain
musing|muse
muttering|mutter
noting|note
observing|observe
ordering|order
pledging|pledge
postulating|postulate
predicting|predict
presuming|presume
proclaiming|proclaim
promising|promise
proposing|propose
proving|prove
reading|read
realizing|realize
reasoning|reason
recalling|recall
reckoning|reckon
recognizing|recognize
recounting|recount
reflecting|reflect
remarking|remark
remembering|remember
repeating|repeat
replying|reply
reporting|report
resolving|resolve
responding|respond
retorting|retort
revealing|reveal
ruling|rule
shouting|shout
sighing|sigh
speculating|speculate
stating|state
stipulating|stipulate
stressing|stress
suggesting|suggest
testifying|testify
theorizing|theorize
thinking|think
threatening|threaten
warning|warn
whispering|whisper
wondering|wonder
writing|write
relating|relate
continuing|continue
